,zaman,year,month,count,mean,std,min,25%,50%,75%,max
96,ogle,2020,11,198804.0,91.19899499004045,106.43496208342866,1.0,23.0,57.0,117.0,1211.0
97,ogle,2020,12,216221.0,80.47942151779891,98.56046624231034,1.0,19.0,48.0,103.0,1218.0
98,ogle,2021,1,217348.0,84.75917882842262,103.3023257435408,1.0,19.0,50.0,109.0,1308.0
99,ogle,2021,2,193929.0,89.14558936518004,105.22246356345201,1.0,21.0,54.0,116.0,1151.0
100,ogle,2021,3,217716.0,91.97234011280752,104.9787221577891,1.0,23.0,58.0,121.0,1148.0
101,ogle,2021,4,205753.0,86.81852998498199,100.28744750461368,1.0,21.0,54.0,114.0,1235.0
102,ogle,2021,5,217474.0,75.85013840734985,88.60434717494793,1.0,19.0,46.0,98.0,1054.0
103,ogle,2021,6,170157.0,77.87764241259542,88.19481536527992,1.0,20.0,49.0,102.0,922.0
104,ogle,2021,7,218704.0,81.17602787328993,92.45671512980816,1.0,21.0,50.0,104.0,963.0
105,ogle,2021,8,222059.0,89.7586677414561,100.78635068355707,1.0,23.0,56.0,116.0,1042.0
106,ogle,2021,9,212493.0,91.04681565980997,100.96914311215733,1.0,24.0,58.0,118.0,1021.0
107,ogle,2021,10,221707.0,89.423617657539,100.17196505659905,1.0,23.0,56.0,117.0,975.0
108,ogle,2021,11,215241.0,94.24555730553193,103.6885075314541,1.0,25.0,60.0,124.0,944.0
109,ogle,2021,12,221919.0,85.18835701314444,94.32746105005734,1.0,22.0,54.0,111.0,1021.0
110,ogle,2022,1,221678.0,90.90625592074991,103.58056821098455,1.0,22.0,56.0,118.0,979.0
111,ogle,2022,2,200141.0,81.79087243493338,93.20983938360949,1.0,20.0,51.0,105.0,988.0
112,ogle,2022,3,222071.0,100.3043125847139,114.84183687970746,1.0,24.0,62.0,129.0,1083.0
113,ogle,2022,4,200366.0,92.70343271812582,106.68296329379677,1.0,23.0,57.0,119.0,1173.0
114,ogle,2022,5,213960.0,94.1972751916246,106.53645984040307,1.0,24.0,58.0,122.0,1104.0
115,ogle,2022,6,187291.0,88.6151176511418,100.0941323401782,1.0,22.0,55.0,115.0,1045.0
116,ogle,2022,7,221954.0,83.10002973589123,93.80543131738455,1.0,22.0,51.0,107.0,999.0
117,ogle,2022,8,222316.0,95.91777919717879,108.26726205032362,1.0,25.0,60.0,124.0,1033.0
118,ogle,2022,9,214718.0,86.32562244432232,97.35602641107728,1.0,22.0,53.0,111.0,954.0
119,ogle,2022,10,214581.0,90.33836639777054,102.80230422282841,1.0,22.0,55.0,117.0,1064.0
120,ogle,2022,11,213735.0,85.08090392308232,96.35662290174079,1.0,21.0,53.0,111.0,938.0
121,ogle,2022,12,221443.0,83.62288263797004,93.847186194724,1.0,21.0,52.0,110.0,893.0
122,ogle,2023,1,221688.0,84.93697899751001,95.13351459984526,1.0,21.0,53.0,112.0,984.0
123,ogle,2023,2,200397.0,90.83697859748399,102.08782926968678,1.0,22.0,57.0,119.0,1054.0
124,ogle,2023,3,214580.0,83.71860844440302,95.08803167819029,1.0,20.0,52.0,110.0,925.0
125,ogle,2023,4,205207.0,82.22172245586164,93.99375077467843,1.0,20.0,50.0,107.0,1199.0
126,ogle,2023,5,208173.0,90.07994792792533,100.35863874535872,1.0,23.0,57.0,119.0,1081.0
127,ogle,2023,6,210141.0,82.49923622710466,92.44471510245002,1.0,21.0,51.0,108.0,1008.0
128,ogle,2023,7,178854.0,38.80866516823778,69.74045962634216,1.0,1.0,3.0,48.0,766.0
129,sabah,2020,1,420669.0,99.39524424190991,127.7264184698634,1.0,19.0,55.0,125.0,1206.0
130,sabah,2020,2,379102.0,98.10690790341386,123.58129451489998,1.0,20.0,55.0,124.0,1189.0
131,sabah,2020,3,430985.0,88.60159402299384,114.85029852136019,1.0,17.0,48.0,111.0,1186.0
132,sabah,2020,4,413635.0,69.25541117168518,97.61113524076899,1.0,12.0,34.0,84.0,1069.0
133,sabah,2020,5,427487.0,69.44424742740715,105.07529315387991,1.0,11.0,32.0,81.0,1293.0
134,sabah,2020,6,384438.0,98.65819976173012,129.9939888141671,1.0,20.0,53.0,120.0,1314.0
135,sabah,2020,7,432313.0,93.94302738987724,120.66596524611931,1.0,20.0,52.0,116.0,1262.0
136,sabah,2020,8,431493.0,88.90710625664843,115.38529831662588,1.0,19.0,49.0,110.0,1113.0
137,sabah,2020,9,419854.0,96.7317114997118,122.062104153558,1.0,21.0,55.0,120.0,1115.0
138,sabah,2020,10,429345.0,93.42490304999475,120.08249169374665,1.0,19.0,53.0,116.0,1195.0
139,sabah,2020,11,403014.0,94.5863568015007,123.62517308761328,1.0,19.0,52.0,116.0,1185.0
140,sabah,2020,12,432733.0,92.47861383347237,122.42609630332505,1.0,18.0,50.0,113.0,1278.0
141,sabah,2021,1,429987.0,89.42286394704956,120.2744932623567,1.0,17.0,47.0,110.0,1200.0
142,sabah,2021,2,385341.0,91.00429749235093,119.72390524238749,1.0,18.0,49.0,113.0,1163.0
143,sabah,2021,3,432347.0,94.03235826778028,120.46257779918746,1.0,20.0,53.0,117.0,1178.0
144,sabah,2021,4,412202.0,96.07213938796997,123.22832741871716,1.0,20.0,54.0,120.0,1262.0
145,sabah,2021,5,413606.0,79.83262815336334,108.0621917826383,1.0,15.0,42.0,99.0,1283.0
146,sabah,2021,6,346667.0,86.97355098697021,111.2752312694017,1.0,19.0,49.0,109.0,1105.0
147,sabah,2021,7,439256.0,82.32267060666217,104.75043643282429,1.0,18.0,46.0,102.0,1180.0
148,sabah,2021,8,443360.0,96.02755999639119,119.39013371669145,1.0,21.0,55.0,120.0,1179.0
149,sabah,2021,9,428464.0,97.48188879345756,118.91115870643503,1.0,22.0,57.0,123.0,1123.0
150,sabah,2021,10,422003.0,87.20011232147638,108.24847848113077,1.0,19.0,50.0,110.0,1100.0
151,sabah,2021,11,423897.0,97.41611759460434,118.68903979269568,1.0,22.0,56.0,123.0,1113.0
152,sabah,2021,12,424915.0,90.60455385194686,111.76409291907851,1.0,20.0,52.0,114.0,1102.0
153,sabah,2022,1,423971.0,89.66434496699067,113.31393402377957,1.0,18.0,50.0,112.0,1146.0
154,sabah,2022,2,388632.0,84.14574456040675,104.77704890005519,1.0,18.0,48.0,105.0,1244.0
155,sabah,2022,3,441485.0,103.65758066525477,129.0928010170718,1.0,21.0,58.0,129.0,1323.0
156,sabah,2022,4,392273.0,97.18909789865731,120.00826818167887,1.0,21.0,56.0,121.0,1124.0
157,sabah,2022,5,421047.0,89.937332411821,113.65442892606978,1.0,19.0,49.0,114.0,1132.0
158,sabah,2022,6,377620.0,91.89846141623855,116.72824541361275,1.0,20.0,51.0,115.0,1146.0
159,sabah,2022,7,441851.0,82.36393263792546,103.37579188038276,1.0,18.0,46.0,103.0,1151.0
160,sabah,2022,8,443171.0,96.87957018848255,120.76947118515568,1.0,21.0,55.0,121.0,1213.0
161,sabah,2022,9,428105.0,91.77368636199063,112.72358909223021,1.0,20.0,52.0,116.0,1053.0
162,sabah,2022,10,434584.0,91.5196739870773,112.74758067955327,1.0,20.0,52.0,116.0,1076.0
163,sabah,2022,11,424298.0,87.49695261349335,106.74049982992452,1.0,19.0,50.0,111.0,991.0
164,sabah,2022,12,431997.0,85.51943879239901,104.84993579945676,1.0,18.0,49.0,109.0,1006.0
165,sabah,2023,1,439094.0,86.14732836249186,106.09886922129292,1.0,18.0,49.0,110.0,1027.0
166,sabah,2023,2,396650.0,92.1776125047271,112.60907195181613,1.0,20.0,53.0,118.0,1086.0
167,sabah,2023,3,422663.0,84.88423637744492,103.44537920672846,1.0,19.0,49.0,109.0,1037.0
168,sabah,2023,4,388331.0,82.29337086145581,102.15620270094135,1.0,17.0,46.0,106.0,1167.0
169,sabah,2023,5,388282.0,91.34812842212618,110.34503395667507,1.0,20.0,53.0,118.0,1153.0
170,sabah,2023,6,406871.0,79.65359045004436,96.77933570870759,1.0,18.0,46.0,102.0,1048.0
171,sabah,2023,7,343134.0,38.87951062850082,79.25202963231749,1.0,1.0,2.0,42.0,1273.0
