trafficindexdate,minimum_traffic_index,maximum_traffic_index,average_traffic_index
2019-01-28 00:00:00.000,1,65,24.758741
2016-10-18 00:00:00.000,2,71,31.219513
2018-10-13 00:00:00.000,1,51,23.641115
2019-11-11 00:00:00.000,2,60,26.929077
2015-11-02 00:00:00.000,1,72,29.393728
2018-01-05 00:00:00.000,1,61,26.433567
2017-06-18 00:00:00.000,1,49,17.350878
2019-10-20 00:00:00.000,1,54,22.633587
2017-02-18 00:00:00.000,1,45,21.916666
2020-06-01 00:00:00.000,1,80,28.111111
2016-05-26 00:00:00.000,6,67,38.212543
2021-09-14 00:00:00.000,1,65,33.542603
2018-04-07 00:00:00.000,1,54,27.416666
2020-11-04 00:00:00.000,4,72,34.291668
2023-01-27 00:00:00.000,1,74,41.61248
2022-03-29 00:00:00.000,1,71,30.69552
2020-11-27 00:00:00.000,2,63,25.898602
2017-01-07 00:00:00.000,5,69,21.849123
2022-10-08 00:00:00.000,0,67,28.183249
2017-06-28 00:00:00.000,1,36,11.985965
2016-04-09 00:00:00.000,31,31,31
2021-01-17 00:00:00.000,6,31,17.103571
2019-11-02 00:00:00.000,2,60,28.073172
2016-12-12 00:00:00.000,1,78,31.409252
2020-05-01 00:00:00.000,1,17,6.3344946
2021-10-25 00:00:00.000,1,69,32.819229
2021-05-16 00:00:00.000,1,11,2.2428572
2020-08-14 00:00:00.000,4,65,31.020834
2023-02-12 00:00:00.000,1,49,15.007435
2022-04-26 00:00:00.000,1,72,29.963636
2020-03-14 00:00:00.000,6,51,24.541666
2016-10-26 00:00:00.000,1,69,28.418118
2018-04-03 00:00:00.000,2,60,28.379791
2016-02-27 00:00:00.000,8,63,34.157341
2015-11-20 00:00:00.000,4,80,35.240417
2018-01-18 00:00:00.000,1,61,31.23345
2022-12-07 00:00:00.000,1,80,33.32225
2017-09-24 00:00:00.000,1,49,22.907801
2017-01-12 00:00:00.000,5,50,28.325174
2020-11-11 00:00:00.000,4,69,38.452515
2019-09-03 00:00:00.000,1,57,26.642361
2019-03-11 00:00:00.000,1,58,23.815331
2017-01-27 00:00:00.000,9,49,25.636042
2017-04-05 00:00:00.000,1,56,25.360714
2019-04-19 00:00:00.000,6,71,31.796492
2016-05-11 00:00:00.000,2,72,37.038193
2023-02-11 00:00:00.000,1,53,18.928303
2022-03-19 00:00:00.000,11,35,23.815971
2017-06-24 00:00:00.000,1,27,9.9233446
2021-07-23 00:00:00.000,1,26,11.440972
2021-02-26 00:00:00.000,6,76,39.681648
2018-11-15 00:00:00.000,1,80,37.574913
2017-07-31 00:00:00.000,1,49,25.416988
2022-07-05 00:00:00.000,0,60,27.160704
2021-08-29 00:00:00.000,1,38,20.296167
2019-10-18 00:00:00.000,4,69,29.992424
2021-02-14 00:00:00.000,13,38,23.458334
2020-04-21 00:00:00.000,2,38,14.881119
2020-12-12 00:00:00.000,2,20,9.5659723
2017-05-07 00:00:00.000,1,49,23.762238
2016-08-24 00:00:00.000,4,69,37.099632
2016-12-09 00:00:00.000,1,76,30.679443
2018-04-19 00:00:00.000,1,62,28.692308
2017-04-16 00:00:00.000,1,47,15.114983
2016-03-07 00:00:00.000,1,72,31.659721
2019-03-28 00:00:00.000,1,63,26.527971
2018-09-17 00:00:00.000,1,51,21.260416
2021-08-14 00:00:00.000,1,51,28.491289
2018-02-12 00:00:00.000,1,65,23.646852
2020-07-07 00:00:00.000,4,60,29.072916
2017-06-06 00:00:00.000,1,54,22.319445
2023-02-01 00:00:00.000,4,83,37.96159
2019-10-17 00:00:00.000,2,62,28.736841
2018-05-16 00:00:00.000,1,54,21.113073
2015-09-19 00:00:00.000,1,53,26.003485
2020-06-26 00:00:00.000,6,67,34.397888
2016-06-18 00:00:00.000,1,62,26.524822
2016-01-28 00:00:00.000,2,89,41.215549
2015-10-31 00:00:00.000,1,58,25.188154
2020-03-27 00:00:00.000,1,20,11.65625
2021-08-27 00:00:00.000,1,65,32.760418
2017-07-20 00:00:00.000,1,54,27.014599
2022-11-15 00:00:00.000,0,85,31.038065
2017-06-29 00:00:00.000,1,44,15.324041
2015-08-30 00:00:00.000,1,36,16.850695
2018-04-27 00:00:00.000,1,67,30.604166
2017-01-10 00:00:00.000,7,38,22.609756
2018-12-14 00:00:00.000,1,65,25.665504
2020-03-17 00:00:00.000,4,54,21.90909
2019-12-05 00:00:00.000,6,74,34.71875
2017-12-18 00:00:00.000,1,63,24.219513
2018-07-04 00:00:00.000,1,62,27.87063
2021-11-14 00:00:00.000,1,56,23.489584
2021-11-03 00:00:00.000,2,71,33.375
2019-03-23 00:00:00.000,2,56,28.307692
2019-08-18 00:00:00.000,1,22,8.9444447
2018-01-19 00:00:00.000,1,67,27.797203
2023-02-02 00:00:00.000,1,80,34.162971
2017-08-06 00:00:00.000,1,27,13.545788
2016-10-22 00:00:00.000,1,65,29.517361
2016-03-16 00:00:00.000,2,74,35.470383
2016-02-06 00:00:00.000,13,63,34.354385
2019-01-13 00:00:00.000,1,29,12.264809
2019-12-04 00:00:00.000,13,69,39.709343
2017-07-01 00:00:00.000,1,33,16.565971
2022-11-30 00:00:00.000,1,74,32.97583
2018-07-02 00:00:00.000,1,60,27.027779
2016-10-29 00:00:00.000,1,44,18.798611
2019-09-27 00:00:00.000,1,62,28.107639
2019-11-08 00:00:00.000,2,74,33.080139
2016-12-01 00:00:00.000,1,71,25.892361
2016-03-02 00:00:00.000,4,89,41.573425
2021-01-03 00:00:00.000,1,13,3.1006944
2016-03-20 00:00:00.000,1,26,9.0590277
2020-04-13 00:00:00.000,1,18,9.4720278
2018-12-11 00:00:00.000,1,65,29.708334
2019-06-14 00:00:00.000,1,67,29.156794
2018-10-12 00:00:00.000,1,65,26.12937
2018-05-01 00:00:00.000,1,24,12.190972
2020-10-11 00:00:00.000,1,47,21.607639
2018-03-26 00:00:00.000,1,54,22.10453
2016-05-14 00:00:00.000,2,72,38.9338
2018-04-14 00:00:00.000,1,54,28.062717
2017-01-21 00:00:00.000,11,49,27.64057
2022-01-02 00:00:00.000,1,31,14.368055
2019-09-04 00:00:00.000,1,61,29.055555
2016-09-15 00:00:00.000,1,26,9.8125
2022-05-17 00:00:00.000,1,72,31.928659
2018-08-23 00:00:00.000,1,20,7.9895835
2015-10-21 00:00:00.000,1,74,37.987904
