zaman,year,month,road_type,count,mean,std,min,25%,50%,75%,max
gece,2021,3,DENİZ,2263.0,11.678745028722934,26.283089940399996,1.0,2.0,4.0,11.0,351.0
gece,2021,3,OTOYOL,70068.0,34.70415881714906,210.0864339047654,1.0,3.0,10.0,30.0,11524.0
gece,2021,3,RAYLI,3193.0,368.5756341998121,660.0502074167416,1.0,13.0,104.0,403.0,4995.0
gece,2021,4,DENİZ,1989.0,10.540472599296129,22.798081301814484,1.0,2.0,4.0,11.0,368.0
gece,2021,4,OTOYOL,60140.0,30.534419687396078,185.91758364000245,1.0,3.0,9.0,26.0,14660.0
gece,2021,4,RAYLI,2918.0,295.5870459218643,569.6098916418752,1.0,12.0,84.5,302.0,5867.0
gece,2021,5,DENİZ,2026.0,13.328232971372161,33.37803465705292,1.0,2.0,5.0,13.0,731.0
gece,2021,5,OTOYOL,58068.0,31.44335950954054,177.55673703477856,1.0,3.0,9.0,26.0,13164.0
gece,2021,5,RAYLI,2266.0,295.1363636363636,655.6196182429298,1.0,8.0,56.0,268.0,6736.0
gece,2021,6,DENİZ,3156.0,62.868187579214194,180.5057792543662,1.0,3.0,12.0,40.0,2417.0
gece,2021,6,OTOYOL,76464.0,71.66661435446746,478.82387904779046,1.0,6.0,19.0,54.0,25700.0
gece,2021,6,RAYLI,3446.0,941.695879280325,2160.2709865547454,1.0,20.0,158.0,825.75,23479.0
gece,2021,7,DENİZ,4510.0,111.72771618625278,220.35681141500373,1.0,7.0,26.0,98.0,2291.0
gece,2021,7,OTOYOL,87607.0,89.70673576312394,540.9902685743391,1.0,7.0,25.0,71.0,22971.0
gece,2021,7,RAYLI,4091.0,1324.2129063798582,2499.4541046812515,1.0,43.0,239.0,1347.0,24708.0
gece,2021,8,DENİZ,4686.0,97.63316261203585,193.1895936213206,1.0,6.0,24.0,85.0,1890.0
gece,2021,8,OTOYOL,87688.0,85.26744822552686,510.91295041363355,1.0,7.0,24.0,66.0,19647.0
gece,2021,8,RAYLI,4174.0,1205.4372304743652,2285.206154323513,1.0,38.0,223.0,1210.75,16448.0
gece,2021,9,DENİZ,4161.0,83.28334534967556,187.34304516344778,1.0,5.0,18.0,64.0,2914.0
gece,2021,9,OTOYOL,85750.0,81.47496209912536,501.63923767731137,1.0,6.0,21.0,61.0,20088.0
gece,2021,9,RAYLI,4075.0,1130.8355828220858,2205.967183235096,1.0,41.0,191.0,1083.0,15780.0
gece,2021,10,DENİZ,3996.0,90.7977977977978,229.66253123435558,1.0,5.0,16.0,60.0,4314.0
gece,2021,10,OTOYOL,88648.0,85.27037271004421,532.1194855318275,1.0,6.0,21.0,62.0,21897.0
gece,2021,10,RAYLI,4228.0,1236.9900662251655,2484.628729458627,1.0,45.0,216.0,1075.0,21605.0
gece,2021,11,DENİZ,3467.0,78.41101817132969,207.92597895246934,1.0,5.0,15.0,52.0,4965.0
gece,2021,11,OTOYOL,87010.0,83.40172393977704,529.1841084545807,1.0,6.0,20.0,60.0,23605.0
gece,2021,11,RAYLI,4010.0,1245.6381546134664,2537.009422955149,1.0,43.0,226.0,1039.25,22677.0
gece,2021,12,DENİZ,3742.0,76.57268840192411,219.15283764227172,1.0,4.0,13.0,45.0,6690.0
gece,2021,12,OTOYOL,90224.0,82.99860347579359,524.0674368665041,1.0,6.0,20.0,60.0,21133.0
gece,2021,12,RAYLI,4144.0,1277.2007722007722,2570.5165986835286,1.0,42.0,222.0,1074.0,20086.0
gece,2022,1,DENİZ,3799.0,54.36299026059489,150.03075552386687,1.0,3.0,10.0,36.0,3619.0
gece,2022,1,OTOYOL,85283.0,76.37372043666382,458.01144361150597,1.0,5.0,19.0,55.0,18465.0
gece,2022,1,RAYLI,4356.0,1090.6512855831038,2141.0967717114095,1.0,36.0,189.0,960.5,17577.0
gece,2022,2,DENİZ,3582.0,67.61222780569514,203.41625472130494,1.0,4.0,12.0,43.0,6598.0
gece,2022,2,OTOYOL,80721.0,84.95500551281575,513.4431950820516,1.0,6.0,21.0,63.0,20779.0
